pcd,pcd2,pcds,dointr,doterm,oscty,oslaua,osward,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,hro,ctry,gor,streg,pcon,eer,teclec,ttwa,pct,nuts,psed,cened,edind,oshaprev,lea,oldha,wardc91,wardo91,ward98,statsward,oa01,casward,park,lsoa01,msoa01,ur01ind,oac01,oldpct,oa11,lsoa11,msoa11,parish,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd
"BN996FU","BN99 6FU","BN99 6FU","201009","","E10000032","E07000223","E05007563","1","517672","0104182","1","E18000008","E19000002","E92000001","E12000008","5","E14000682","E15000008","E24000030","E30000292","E16000108","E05007563","45UBFB07","RRFB07","1","Q19","938","QAN","46RRFB","45UBFB","45UBFB","45UBFR","E00159804","45UBFR","E99999999","E01031341","E02006541","5","5A2","5L8","E00159804","E01031341","E02006541","E04009847","E33044837","E38000213","E34004748","E35001442","C1","7D1",50.825229,-0.330672,"E37000004","","E23000033",4700
"BR1 4QN","BR1  4QN","BR1 4QN","198001","","E99999999","E09000023","E05000442","0","539587","0171404","1","E18000007","E19000003","E92000001","E12000007","5","E14000787","E15000007","E24000015","E30000234","E16000060","E05000442","01AZFG10","AJFG10","1","Q07","209","QAH","01AJFG","01AZFG","00AZFG","00AZGJ","E00016356","00AZGJ","E99999999","E01003242","E02000684","5","1B2","5LF","E00016356","E01032564","E02006783","E43000213","E33036811","E38000098","E34004707","E35000058","A1","4A3",51.424463,0.006296,"E37000023","","E23000001",3969
"BR2 0DD","BR2  0DD","BR2 0DD","199812","","E99999999","E09000006","E05000109","0","539893","0169433","1","E18000007","E19000003","E92000001","E12000007","5","E14000604","E15000007","E24000016","E30000234","E16000004","E05000109","01AFFR19","AUFR19","1","Q07","305","QEY","02AUFR","01AFFR","00AFFR","00AFGG","E00003256","00AFGG","E99999999","E01000676","E02000134","5","7B2","5A7","E00003256","E01000676","E02000134","E43000196","E33032790","E38000023","E34004707","E35000434","A1","3D1",51.406676,0.009918,"E37000023","","E23000001",10169
"BR2 9LG","BR2  9LG","BR2 9LG","198001","","E99999999","E09000006","E05000109","0","541309","0168628","1","E18000007","E19000003","E92000001","E12000007","5","E14000604","E15000007","E24000016","E30000234","E16000004","E05000109","01AFFN02","AUFN02","1","Q07","305","QEY","02AUFN","01AFFN","00AFFN","00AFGG","E00003269","00AFGG","E99999999","E01000679","E02000146","5","7A3","5A7","E00003269","E01000679","E02000146","E43000196","E33032840","E38000023","E34004707","E35000434","A1","5A2",51.399092,0.029942,"E37000023","","E23000001",25363
"BR3 1NJ","BR3  1NJ","BR3 1NJ","198001","","E99999999","E09000006","E05000113","0","536797","0170298","1","E18000007","E19000003","E92000001","E12000007","5","E14000551","E15000007","E24000016","E30000234","E16000004","E05000113","01AFFH09","AUFH09","1","Q07","305","QEY","02AUFH","01AFFH","00AFFH","00AFGL","E00003467","00AFGL","E99999999","E01000711","E02000132","5","2B2","5A7","E00003467","E01000711","E02000132","E43000196","E33032771","E38000023","E34004707","E35000434","A1","2D1",51.415204,-0.034233,"E37000023","","E23000001",20705
"BR3 2TB","BR3  2TB","BR3 2TB","198001","199512","E99999999","E09000006","E05000126","0","538693","0167485","1","E18000007","E19000003","E92000001","E12000007","5","E14000551","E15000007","E24000016","E30000234","E16000004","E05000126","01AFGA12","AUGA12","1","Q07","305","QEY","02AUGA","01AFGA","00AFGA","00AFHA","E00004066","00AFHA","E99999999","E01000826","E02000147","5","4B3","5A7","E00004066","E01000826","E02000147","E43000196","E33032848","E38000023","E34004707","E35000434","A1","6A1",51.389465,-0.008085,"E37000023","","E23000001",31618
"BR3 3HX","BR3  3HX","BR3 3HX","198001","","E99999999","E09000006","E05000120","0","536911","0167998","1","E18000007","E19000003","E92000001","E12000007","5","E14000551","E15000007","E24000016","E30000234","E16000004","E05000120","01AFFL14","AUFL14","1","Q07","305","QEY","02AUFL","01AFFL","00AFFL","00AFGT","E00003792","00AFGT","E99999999","E01000777","E02000150","5","6A2","5A7","E00003792","E01000777","E02000150","E43000196","E33032859","E38000023","E34004707","E35000434","A1","5A2",51.394508,-0.033482,"E37000023","","E23000001",24898
"BR3 5BU","BR3  5BU","BR3 5BU","199512","","E99999999","E09000006","E05000113","0","537708","0170382","1","E18000007","E19000003","E92000001","E12000007","5","E14000551","E15000007","E24000016","E30000234","E16000004","E05000113","01AFFH05","AUFH05","1","Q07","305","QEY","02AUFH","01AFFH","00AFFH","00AFGL","E00003437","00AFGL","E99999999","E01000712","E02000138","5","6D2","5A7","E00003437","E01000712","E02000138","E43000196","E33032805","E38000023","E34004707","E35000434","A1","5B1",51.415738,-0.021109,"E37000023","","E23000001",28289
"BR3 6YZ","BR3  6YZ","BR3 6YZ","200807","201204","E99999999","E09000006","E05000120","1","535892","0168177","1","E18000007","E19000003","E92000001","E12000007","5","E14000551","E15000007","E24000016","E30000234","E16000004","E05000120","01AFFL02","AUFL02","1","Q07","305","QEY","02AUFL","01AFFL","00AFFL","00AFGT","E00003794","00AFGT","E99999999","E01000776","E02000143","5","7A2","5A7","E00165793","E01032568","E02006787","E43000196","E33031464","E38000023","E34004707","E35000434","A1","4A1",51.396361,-0.048051,"E37000023","","E23000001",8525
"BR4 9PT","BR4  9PT","BR4 9PT","198001","","E99999999","E09000006","E05000127","0","537687","0166074","1","E18000007","E19000003","E92000001","E12000007","5","E14000551","E15000007","E24000016","E30000234","E16000004","E05000127","01AFGC01","AUGC01","1","Q07","305","QEY","02AUGC","01AFGC","00AFGC","00AFHB","E00004087","00AFHB","E99999999","E01000835","E02000156","5","6B1","5A7","E00004087","E01000835","E02000156","E43000196","E33032879","E38000023","E34004707","E35000434","A1","5B1",51.377030,-0.023080,"E37000023","","E23000001",26198
"BR5 2RE","BR5  2RE","BR5 2RE","198001","","E99999999","E09000006","E05000115","0","546530","0169616","1","E18000007","E19000003","E92000001","E12000007","5","E14000604","E15000007","E24000016","E30000234","E16000004","E05000115","01AFFZ05","AUFZ05","1","Q07","305","QEY","02AUFZ","01AFFZ","00AFFZ","00AFGN","E00003581","00AFGN","E99999999","E01000729","E02000140","5","5B3","5A7","E00003581","E01000729","E02000140","E43000196","E33032818","E38000023","E34004707","E35000434","A1","7A3",51.406646,0.105349,"E37000023","","E23000001",3934
"BR5 3NR","BR5  3NR","BR5 3NR","198001","","E99999999","E09000006","E05000114","0","547301","0168169","1","E18000007","E19000003","E92000001","E12000007","5","E14000872","E15000007","E24000016","E30000234","E16000004","E05000114","01AFFY20","AUFY20","1","Q07","305","QEY","02AUFY","01AFFY","00AFFY","00AFGM","E00003511","00AFGM","E99999999","E01000721","E02000145","5","5C2","5A7","E00166117","E01000721","E02000145","E43000196","E33032836","E38000023","E34004707","E35000434","A1","7A3",51.393444,0.115826,"E37000023","","E23000001",3015
"BR6 0SE","BR6  0SE","BR6 0SE","198001","","E99999999","E09000006","E05000124","0","545619","0165901","1","E18000007","E19000003","E92000001","E12000007","5","E14000872","E15000007","E24000016","E30000234","E16000004","E05000124","01AFFW26","AUFW26","1","Q07","305","QEY","02AUFW","01AFFW","00AFFW","00AFGY","E00003954","00AFGY","E99999999","E01000814","E02000154","5","4D1","5A7","E00003954","E01000814","E02000154","E43000196","E33032873","E38000023","E34004707","E35000434","A1","6A1",51.373499,0.090738,"E37000023","","E23000001",32147
"BR7 5JY","BR7  5JY","BR7 5JY","198001","","E99999999","E09000006","E05000111","0","543137","0169885","1","E18000007","E19000003","E92000001","E12000007","5","E14000604","E15000007","E24000016","E30000234","E16000004","E05000111","01AFFF09","AUFF09","1","Q07","305","QEY","02AUFF","01AFFF","00AFFF","00AFGJ","E00003371","00AFGJ","E99999999","E01000697","E02000133","5","4D1","5A7","E00003371","E01000697","E02000133","E43000196","E33032779","E38000023","E34004707","E35000434","A1","5B1",51.409929,0.056708,"E37000023","","E23000001",31573
"BS1 4RH","BS1  4RH","BS1 4RH","198001","","E99999999","E06000023","E05010892","0","358639","0172196","1","E18000010","E19000002","E92000001","E12000009","6","E14000602","E15000009","E24000035","E30000180","E16000139","E05010892","08UCFH33","DDFH33","1","Q20","801","QD8","09DDFH","08UCFH","00HBMH","00HBNU","E00073436","00HBNU","E99999999","E01014540","E02003043","5","2B2","5JG","E00073436","E01014540","E02003043","E43000019","E33045582","E38000022","E34004965","E35001261","C1","5A3",51.447231,-2.596558,"E37000037","","E23000036",9221
"BS1 5PJ","BS1  5PJ","BS1 5PJ","198001","","E99999999","E06000023","E05010905","0","358106","0173104","1","E18000010","E19000002","E92000001","E12000009","6","E14000602","E15000009","E24000035","E30000180","E16000139","E05010905","08UCFH29","DDFH29","1","Q20","801","QD8","09DDFH","08UCFH","00HBMH","00HBNU","E00073417","00HBNU","E99999999","E01014542","E02003043","5","2A1","5JG","E00073417","E01014542","E02003043","E43000019","E33045560","E38000022","E34004965","E35001261","C1","2B2",51.455356,-2.604335,"E37000037","","E23000036",11034
"BS1 6QP","BS1  6QP","BS1 6QP","201311","","E99999999","E06000023","E05010892","0","359002","0172816","1","E18000010","E19000002","E92000001","E12000009","6","E14000602","E15000009","E24000035","E30000180","E16000139","E05010892","08UCFZ22","DDFZ22","1","Q20","801","QD8","09DDFZ","08UCFZ","00HBMZ","00HBPM","E00074004","00HBPM","E99999999","E01014652","E02003042","5","2A1","5JF","E00174242","E01033355","E02006887","E43000019","E33047100","E38000022","E34004965","E35001261","C1","2B2",51.452832,-2.591407,"E37000037","","E23000036",7960
"BS110UA","BS11 0UA","BS11 0UA","198001","","E99999999","E06000023","E05010886","0","355319","0178590","1","E18000010","E19000002","E92000001","E12000009","6","E14000600","E15000009","E24000035","E30000180","E16000139","E05010886","08UCFX14","DDFX14","1","Q20","801","QD8","09DDFX","08UCFX","00HBMX","00HBPK","E00073942","00HBPK","E99999999","E01014639","E02003014","5","5C2","5JF","E00073942","E01014639","E02003014","E43000019","E33047311","E38000022","E34004965","E35001261","C1","7A3",51.504465,-2.645143,"E37000037","","E23000036",2039
"BS140QU","BS14 0QU","BS14 0QU","198001","199507","E99999999","E06000022","E05001944","0","363200","0166000","8","E18000010","E19000002","E92000001","E12000009","6","E14000846","E15000009","E24000035","E30000165","E16000028","E05001944","08UFFK04","DGFK04","1","Q20","800","QD8","09DGFK","08UFFK","00HAMG","00HANZ","E00072685","00HANZ","E99999999","E01014392","E02003000","8","3A1","5FL","E00072685","E01014392","E02003000","E04000962","E33047248","E38000009","E34999999","E35999999","E1","1B2",51.391838,-2.530285,"E37000037","","E23000036",18441
"BS151DE","BS15 1DE","BS15 1DE","198001","","E99999999","E06000023","E05010910","0","363923","0173955","1","E18000010","E19000002","E92000001","E12000009","6","E14000599","E15000009","E24000035","E30000180","E16000139","E05010910","08UCGC06","DDGC06","1","Q20","801","QD8","09DDGC","08UCGC","00HBNC","00HBPQ","E00074117","00HBPQ","E99999999","E01014675","E02003038","5","6A2","5JF","E00074117","E01014675","E02003038","E43000019","E33047436","E38000022","E34004965","E35001261","C1","5A2",51.463409,-2.520707,"E37000037","","E23000036",12064
"BS156PY","BS15 6PY","BS15 6PY","198001","199708","E99999999","E06000025","E05002062","0","366719","0171613","1","E18000010","E19000002","E92000001","E12000009","6","E14000774","E15000009","E24000035","E30000180","E16000001","E05002062","08UDFS06","DEFS06","1","Q20","803","QD8","09DEFS","08UDFS","00HDMW","00HDPM","E00075503","00HDPM","E99999999","E01014942","E02003119","5","5B3","5A3","E00075503","E01014942","E02003119","E04001063","E33047835","E38000155","E34004965","E35001261","C1","8C1",51.442524,-2.480240,"E37000037","","E23000036",9481
"BS156SE","BS15 6SE","BS15 6SE","198001","199708","E99999999","E06000025","E05002062","0","367007","0171541","1","E18000010","E19000002","E92000001","E12000009","6","E14000774","E15000009","E24000035","E30000180","E16000001","E05002062","08UDFC03","DEFC03","1","Q20","803","QD8","09DEFC","08UDFC","00HDMU","00HDPL","E00075468","00HDPL","E99999999","E01014937","E02003121","5","4C2","5A3","E00075468","E01014937","E02003121","E04001043","E33047848","E38000155","E34004965","E35001261","C1","6B3",51.441893,-2.476090,"E37000037","","E23000036",30275
"BS158FL","BS15 8FL","BS15 8FL","201605","","E99999999","E06000023","E05010910","0","364056","0173628","1","E18000010","E19000002","E92000001","E12000009","6","E14000599","E15000009","E24000035","E30000180","E16000139","E05010910","08UCGC08","DDGC08","1","Q20","801","QD8","09DDGC","08UCGC","00HBNC","00HBPQ","E00074121","00HBPQ","E99999999","E01014675","E02003038","5","6A1","5JF","E00074121","E01014675","E02003038","E43000019","E33047434","E38000022","E34004965","E35001261","C1","5A1",51.460478,-2.518760,"E37000037","","E23000036",12064
"BS163WZ","BS16 3WZ","BS16 3WZ","200211","200311","E99999999","E06000023","E05010899","1","363281","0175802","5","E18000010","E19000002","E92000001","E12000009","6","E14000599","E15000009","E24000035","E30000180","E16000139","E05010899","08UCFP17","DDFP17","1","Q20","801","QD8","09DDFP","08UCFP","00HBMP","00HBPC","E00073698","00HBPC","E99999999","E01014590","E02003024","5","7A3","5JF","E00073698","E01014590","E02003024","E43000019","E33047355","E38000022","E34004965","E35001261","C1","4A2",51.479974,-2.530141,"E37000037","","E23000036",10358
"BS172EB","BS17 2EB","BS17 2EB","198001","199708","E99999999","E06000025","E05002056","0","367013","0181638","1","E18000010","E19000002","E92000001","E12000009","6","E14000994","E15000009","E24000035","E30000180","E16000001","E05002056","08UEFM04","DFFM04","1","Q20","803","QD8","09DFFM","08UEFM","00HDMP","00HDPF","E00075341","00HDPF","E99999999","E01014912","E02003102","5","4A2","5A3","E00075341","E01014912","E02003102","E04012626","E33047751","E38000155","E34004965","E35000987","C1","6B2",51.532677,-2.476950,"E37000037","","E23000036",32558
"BS182BQ","BS18 2BQ","BS18 2BQ","198001","199708","E99999999","E06000022","E05001947","0","365189","0168926","1","E18000010","E19000002","E92000001","E12000009","6","E14000846","E15000009","E24000035","E30000180","E16000028","E05001947","08UFFS01","DGFS01","1","Q20","800","QD8","09DGFS","08UFFS","00HAMN","00HAPC","E00072734","00HAPC","E99999999","E01014400","E02002985","5","6B2","5FL","E00072734","E01014400","E02002985","E04000975","E33047179","E38000009","E34003029","E35999999","C1","5B3",51.418272,-2.501988,"E37000037","","E23000036",24507
"BS185JU","BS18 5JU","BS18 5JU","198001","199708","E99999999","E06000022","E05001945","0","365055","0157704","1","E18000010","E19000002","E92000001","E12000009","6","E14000846","E15000009","E24000035","E30000165","E16000028","E05001945","08UFFP04","DGFP04","1","Q20","800","QD8","09DGFP","08UFFP","00HAML","00HAPA","E00072699","00HAPA","E99999999","E01014394","E02003007","7","3C1","5FL","E00072699","E01014394","E02003007","E04000971","E33047281","E38000009","E34999999","E35999999","E1","1B2",51.317363,-2.502808,"E37000037","","E23000036",21945
"BS192BT","BS19 2BT","BS19 2BT","198001","199708","E99999999","E06000024","E05010289","0","345862","0170308","1","E18000010","E19000002","E92000001","E12000009","6","E14000850","E15000009","E24000035","E30000180","E16000069","E05010289","08UGFT02","DHFT02","1","Q20","802","QD8","09DHFT","08UGFT","00HCMT","00HCPG","E00074681","00HCPG","E99999999","E01014783","E02003072","5","4A2","5M8","E00074681","E01014783","E02003072","E04012095","E33047599","E38000125","E34004581","E35000477","C1","8A1",51.429177,-2.780109,"E37000037","","E23000036",20944
"BS2 8DQ","BS2  8DQ","BS2 8DQ","198001","","E99999999","E06000023","E05010892","0","358261","0173773","1","E18000010","E19000002","E92000001","E12000009","6","E14000602","E15000009","E24000035","E30000180","E16000139","E05010892","08UCFH22","DDFH22","1","Q20","801","QD8","09DDFH","08UCFH","00HBMH","00HBNU","E00073421","00HBNU","E99999999","E01014538","E02003043","5","2A2","5JG","E00073421","E01014538","E02003043","E43000019","E33047466","E38000022","E34004965","E35001261","C1","2A1",51.461382,-2.602184,"E37000037","","E23000036",22829
"BS217XR","BS21 7XR","BS21 7XR","198001","","E99999999","E06000024","E05010282","0","340057","0170989","1","E18000010","E19000002","E92000001","E12000009","6","E14000850","E15000009","E24000035","E30000285","E16000069","E05010282","08UGFK02","DHFK02","1","Q20","802","QD8","09DHFK","08UGFK","00HCMK","00HCNY","E00074559","00HCNY","E99999999","E01014760","E02003071","5","4D2","5M8","E00074559","E01014760","E02003071","E04001011","E33047592","E38000125","E34003928","E35999999","C1","6B4",51.434714,-2.863714,"E37000037","","E23000036",23850
"BS219BN","BS21 9BN","BS21 9BN","201307","","E99999999","E06000024","E05010282","1","340495","0171582","1","E18000010","E19000002","E92000001","E12000009","6","E14000850","E15000009","E24000035","E30000285","E16000069","E05010282","08UGFG03","DHFG03","1","Q20","802","QD8","09DHFG","08UGFG","00HCMG","00HCNU","E00074530","00HCNU","E99999999","E01014755","E02003071","5","2B1","5M8","E00074530","E01014755","E02003071","E04001011","E33047595","E38000125","E34003928","E35999999","C1","5B2",51.440092,-2.857513,"E37000037","","E23000036",24731
"BS226DS","BS22 6DS","BS22 6DS","199712","","E99999999","E06000024","E05010300","0","335015","0162728","1","E18000010","E19000002","E92000001","E12000009","6","E14001038","E15000009","E24000035","E30000285","E16000069","E05010300","08UGGD17","DHGD17","1","Q20","802","QD8","09DHGD","08UGGD","00HCND","00HCPT","E00074855","00HCPT","E99999999","E01014820","E02003080","5","6B3","5M8","E00074855","E01014820","E02003080","E04012104","E33047638","E38000125","E34004551","E35001322","C1","6B2",51.359887,-2.934721,"E37000037","","E23000036",15083
"BS226RB","BS22 6RB","BS22 6RB","199712","","E99999999","E06000024","E05010304","0","335986","0162263","1","E18000010","E19000002","E92000001","E12000009","6","E14001038","E15000009","E24000035","E30000285","E16000069","E05010304","08UGGB10","DHGB10","1","Q20","802","QD8","09DHGB","08UGGB","00HCNB","00HCPX","E00074969","00HCPX","E99999999","E01014836","E02003080","5","6A1","5M8","E00074969","E01014836","E02003080","E04012104","E33047639","E38000125","E34004551","E35001322","C1","6B2",51.355817,-2.920693,"E37000037","","E23000036",15349
"BS247EY","BS24 7EY","BS24 7EY","200403","","E99999999","E06000024","E05010306","0","335706","0161409","1","E18000010","E19000002","E92000001","E12000009","6","E14001038","E15000009","E24000035","E30000285","E16000069","E05010306","08UGFQ01","DHFQ01","1","Q20","802","QD8","09DHFQ","08UGFQ","00HCNB","00HCPS","E00074822","00HCPS","E99999999","E01014814","E02003083","5","4A2","5M8","E00166259","E01032671","E02006846","E04012104","E33050828","E38000125","E34004551","E35001322","C1","8D3",51.348107,-2.924559,"E37000037","","E23000036",20011
"BS249LU","BS24 9LU","BS24 9LU","198001","","E99999999","E06000024","E05010305","0","333062","0157999","1","E18000010","E19000002","E92000001","E12000009","6","E14001038","E15000009","E24000035","E30000285","E16000069","E05010305","08UGGF14","DHGF14","1","Q20","802","QD8","09DHGF","08UGGF","00HCNF","00HCPR","E00074794","00HCPR","E99999999","E01014805","E02003089","5","4B1","5M8","E00074794","E01014805","E02003089","E04012104","E33047685","E38000125","E34004551","E35001322","C1","6A3",51.317144,-2.961876,"E37000037","","E23000036",24844
"BS251PH","BS25 1PH","BS25 1PH","198001","","E99999999","E06000024","E05010277","0","342645","0157642","1","E18000010","E19000002","E92000001","E12000009","6","E14001038","E15000009","E24000035","E30000285","E16000069","E05010277","08UGGJ08","DHGJ08","1","Q20","802","QD8","09DHGJ","08UGGJ","00HCNJ","00HCNQ","E00074473","00HCNQ","E99999999","E01014742","E02003088","8","4D2","5M8","E00074473","E01014742","E02003088","E04001032","E33047680","E38000125","E34003137","E35999999","F1","6A4",51.314983,-2.824329,"E37000037","","E23000036",32170
"BS273PU","BS27 3PU","BS27 3PU","198001","","E10000027","E07000188","E05008905","0","346018","0153534","1","E18000010","E19000002","E92000001","E12000009","6","E14001026","E15000009","E24000033","E30000285","E16000141","E05008905","40UCFJ07","QCFJ07","1","Q22","933","QD5","41QCFJ","40UCFJ","40UCFJ","40UCGY","E00148348","40UCGY","E99999999","E01029127","E02006061","6","6B2","5FW","E00148348","E01029127","E02006061","E04008617","E33050176","E38000150","E34000766","E35999999","D1","8C2",51.278379,-2.775314,"E37000016","","E23000036",19753
"BS3 1EB","BS3  1EB","BS3 1EB","198001","","E99999999","E06000023","E05010914","0","358147","0171702","1","E18000010","E19000002","E92000001","E12000009","6","E14000601","E15000009","E24000035","E30000180","E16000139","E05010914","08UCGF22","DDGF22","1","Q20","801","QD8","09DDGF","08UCGF","00HBNF","00HBPT","E00074248","00HBPT","E99999999","E01014698","E02003047","5","2B2","5JG","E00074248","E01014698","E02003047","E43000019","E33047482","E38000022","E34004965","E35001261","C1","2D3",51.442753,-2.603579,"E37000037","","E23000036",21791
"BS3 3HD","BS3  3HD","BS3 3HD","198001","","E99999999","E06000023","E05010887","0","357626","0170767","1","E18000010","E19000002","E92000001","E12000009","6","E14000601","E15000009","E24000035","E30000180","E16000139","E05010887","08UCFC07","DDFC07","1","Q20","801","QD8","09DDFC","08UCFC","00HBMC","00HBNP","E00073246","00HBNP","E99999999","E01014506","E02003052","5","1C3","5JG","E00073246","E01014506","E02003052","E43000019","E33047508","E38000022","E34004965","E35001261","C1","8B1",51.434308,-2.610963,"E37000037","","E23000036",23992
"BS328YR","BS32 8YR","BS32 8YR","200006","200108","E99999999","E06000025","E05002064","1","360519","0181775","1","E18000010","E19000002","E92000001","E12000009","6","E14000702","E15000009","E24000035","E30000180","E16000001","E05002064","08UEFT03","DFFT03","1","Q20","803","QD8","09DFFT","08UEFT","00HDMX","00HDPN","E00075546","00HDPN","E99999999","E01014952","E02003100","5","4C2","5A3","E00075546","E01014952","E02003100","E04012630","E33047741","E38000155","E34004965","E35001325","C1","6B4",51.533491,-2.570582,"E37000037","","E23000036",18068
"BS351JQ","BS35 1JQ","BS35 1JQ","199712","","E99999999","E06000025","E05002071","0","364155","0190671","1","E18000010","E19000002","E92000001","E12000009","6","E14000994","E15000009","E24000035","E30000180","E16000001","E05002071","08UEGB04","DFGB04","1","Q20","803","QD8","09DFGB","08UEGB","00HDNF","00HDPW","E00075725","00HDPW","E99999999","E01014986","E02003090","5","1C3","5A3","E00075725","E01014986","E02003090","E04001073","E33047691","E38000155","E34000645","E35999999","C1","8A1",51.613718,-2.519076,"E37000037","","E23000036",19108
"BS4 5EH","BS4  5EH","BS4 5EH","198001","","E99999999","E06000023","E05010915","0","361631","0170024","1","E18000010","E19000002","E92000001","E12000009","6","E14000599","E15000009","E24000035","E30000180","E16000139","E05010915","08UCGG02","DDGG02","1","Q20","801","QD8","09DDGG","08UCGG","00HBNG","00HBNT","E00073388","00HBNT","E99999999","E01014535","E02003054","5","4C3","5JG","E00073388","E01014535","E02003054","E43000019","E33047521","E38000022","E34004965","E35001261","C1","6B3",51.427914,-2.553271,"E37000037","","E23000036",20376
"BS405EH","BS40 5EH","BS40 5EH","199712","","E99999999","E06000024","E05010278","0","345030","0160798","1","E18000010","E19000002","E92000001","E12000009","6","E14001038","E15000009","E24000035","E30000285","E16000069","E05010278","08UGFD01","DHFD01","1","Q20","802","QD8","09DHFD","08UGFD","00HCMD","00HCNR","E00074496","00HCNR","E99999999","E01014748","E02003088","7","3C2","5M8","E00074496","E01014748","E02003088","E04001008","E33047677","E38000125","E34999999","E35999999","E1","1B2",51.343591,-2.790605,"E37000037","","E23000036",27950
"BS409UN","BS40 9UN","BS40 9UN","199712","","E99999999","E06000024","E05010308","0","352357","0165677","1","E18000010","E19000002","E92000001","E12000009","6","E14000850","E15000009","E24000035","E30000180","E16000069","E05010308","08UGGH03","DHGH03","1","Q20","802","QD8","09DHGH","08UGGH","00HCNH","00HCPZ","E00075024","00HCPZ","E99999999","E01014848","E02003077","7","4B4","5M8","E00075024","E01014848","E02003077","E04012106","E33047623","E38000125","E34004826","E35000620","E1","1A4",51.388124,-2.686069,"E37000037","","E23000036",20391
"BS419AY","BS41 9AY","BS41 9AY","199712","","E99999999","E06000024","E05010287","0","353958","0169988","1","E18000010","E19000002","E92000001","E12000009","6","E14000850","E15000009","E24000035","E30000180","E16000069","E05010287","08UGFR07","DHFR07","1","Q20","802","QD8","09DHFR","08UGFR","00HCMR","00HCQA","E00075027","00HCQA","E99999999","E01014851","E02003070","6","6B2","5M8","E00075027","E01014851","E02003070","E04012094","E33047584","E38000125","E34000970","E35999999","D1","8A1",51.427017,-2.663624,"E37000037","","E23000036",27051
"BS7 0NX","BS7  0NX","BS7 0NX","200409","","E99999999","E06000023","E05010904","0","360315","0177841","1","E18000010","E19000002","E92000001","E12000009","6","E14000600","E15000009","E24000035","E30000180","E16000139","E05010904","08UCFW14","DDFW14","1","Q20","801","QD8","09DDFW","08UCFW","00HBMW","00HBPJ","E00073920","00HBPJ","E99999999","E01014630","E02003016","5","5C2","5JF","E00174328","E01014630","E02003016","E43000019","E33047318","E38000022","E34004965","E35001261","C1","4A2",51.498106,-2.573079,"E37000037","","E23000036",5968
"BS7 9PU","BS7  9PU","BS7 9PU","198001","","E99999999","E06000023","E05010908","0","359923","0176470","1","E18000010","E19000002","E92000001","E12000009","6","E14000600","E15000009","E24000035","E30000180","E16000139","E05010908","08UCGA11","DDGA11","1","Q20","801","QD8","09DDGA","08UCGA","00HBNA","00HBPN","E00074078","00HBPN","E99999999","E01014662","E02003021","5","6C1","5JF","E00074078","E01014662","E02003021","E43000019","E33047342","E38000022","E34004965","E35001261","C1","5A3",51.485752,-2.578569,"E37000037","","E23000036",14027
"BS8 3NN","BS8  3NN","BS8 3NN","199002","201211","E99999999","E06000023","E05010893","1","356627","0173702","1","E18000010","E19000002","E92000001","E12000009","6","E14000602","E15000009","E24000035","E30000180","E16000139","E05010893","08UCFJ01","DDFJ01","1","Q20","801","QD8","09DDFJ","08UCFJ","00HBMJ","00HBNW","E00073475","00HBNW","E99999999","E01014544","E02003041","5","2B2","5JG","E00174275","E01014544","E02003041","E43000019","E33047119","E38000022","E34004965","E35001261","C1","2C1",51.460621,-2.625694,"E37000037","","E23000036",24110
"BS8 3PB","BS8  3PB","BS8 3PB","198001","","E99999999","E06000024","E05010287","0","355963","0172812","1","E18000010","E19000002","E92000001","E12000009","6","E14000850","E15000009","E24000035","E30000180","E16000069","E05010287","08UGFR01","DHFR01","1","Q20","802","QD8","09DHFR","08UGFR","00HCMR","00HCPB","E00074595","00HCPB","E99999999","E01014766","E02003068","7","4D1","5M8","E00074595","E01014766","E02003068","E04012094","E33047570","E38000125","E34004965","E35000721","C1","5B1",51.452567,-2.635139,"E37000037","","E23000036",25357
"BS8 3UU","BS8  3UU","BS8 3UU","198001","","E99999999","E06000024","E05010287","0","352027","0171322","1","E18000010","E19000002","E92000001","E12000009","6","E14000850","E15000009","E24000035","E30000180","E16000069","E05010287","08UGGK06","DHGK06","1","Q20","802","QD8","09DHGK","08UGGK","00HCNK","00HCQA","E00075046","00HCQA","E99999999","E01014849","E02003070","7","4B4","5M8","E00075046","E01014849","E02003070","E04012098","E33047580","E38000125","E34001679","E35999999","E1","6A3",51.438850,-2.691577,"E37000037","","E23000036",28038
"BS9 3TS","BS9  3TS","BS9 3TS","198001","","E99999999","E06000023","E05010917","0","357036","0176798","1","E18000010","E19000002","E92000001","E12000009","6","E14000600","E15000009","E24000035","E30000180","E16000139","E05010917","08UCGJ19","DDGJ19","1","Q20","801","QD8","09DDGJ","08UCGJ","00HBNJ","00HBPX","E00074358","00HBPX","E99999999","E01014715","E02003020","5","4C2","5JF","E00074358","E01014715","E02003020","E43000019","E33047338","E38000022","E34004965","E35001261","C1","6B2",51.488488,-2.620184,"E37000037","","E23000036",32130
