pcd,pcd2,pcds,dointr,doterm,oscty,oslaua,osward,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,hro,ctry,gor,streg,pcon,eer,teclec,ttwa,pct,nuts,psed,cened,edind,oshaprev,lea,oldha,wardc91,wardo91,ward98,statsward,oa01,casward,park,lsoa01,msoa01,ur01ind,oac01,oldpct,oa11,lsoa11,msoa11,parish,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd
"AB158WY","AB15 8WY","AB15 8WY","200411","200603","S99999999","S12000033","S13002478","1","390455","0806919","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S31000918","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB14","72UB14","00QA24","99ZZ00","S00000902","01C14","S99999999","S01000136","S02000025","1","5C3","X98","S00089916","S01006703","S02001270","S99999999","S34003102","S03000012","S99999999","S99999999","1","7C1",57.153045,-2.159404,"S99999999","S99999999","S23000009",2025
"AB165LN","AB16 5LN","AB16 5LN","199606","","S99999999","S12000033","S13002479","0","390602","0807939","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S31000914","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB08","72UB08","00QA19","99ZZ00","S00000815","01C10","S99999999","S01000168","S02000030","1","1A2","X98","S00089825","S01006717","S02001272","S99999999","S34003006","S03000012","S99999999","S99999999","1","8B2",57.162211,-2.157013,"S99999999","S99999999","S23000009",2218
"AB2 0FY","AB2  0FY","AB2 0FY","198001","199606","S99999999","S12000033","S13002476","0","389109","0812293","1","S08000020","S99999999","S92000003","S99999999","0","S14000037","S15000001","S09000001","S22000047","S03000012","S31000906","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB46","72UB46","00QA01","99ZZ00","S00001462","01C02","S99999999","S01000257","S02000043","1","4B2","X98","S00090506","S01006748","S02001277","S99999999","S34003025","S03000012","S99999999","S99999999","1","6A3",57.201289,-2.181889,"S99999999","S99999999","S23000009",6018
"AB2 8GU","AB2  8GU","AB2 8GU","198904","199008","S99999999","S12000033","S13002477","0","393220","0810020","8","S08000020","S99999999","S92000003","S99999999","0","S14000037","S15000001","S09000001","S22000047","S03000012","S31000907","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB50","72UB50","00QA04","99ZZ00","S00001824","01C03","S99999999","S01000230","S02000041","1","6D2","X98","S00090907","S01006775","S02001282","S99999999","S34002998","S03000012","S99999999","S99999999","1","5B3",57.180951,-2.113788,"S99999999","S99999999","S23000009",4235
"AB2 9AA","AB2  9AA","AB2 9AA","198001","199606","S99999999","S12000033","S13002476","1","390279","0809982","1","S08000020","S99999999","S92000003","S99999999","0","S14000001","S15000001","S09000001","S22000047","S03000012","S31000913","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB47","72UB47","00QA10","99ZZ00","S00001395","01C03","S99999999","S01000256","S02000045","6","3C2","X98","S00090436","S01006762","S02001280","S99999999","S34003149","S03000012","S99999999","S99999999","6","1B2",57.180556,-2.162434,"S99999999","S99999999","S23000009",5311
"AB219JW","AB21 9JW","AB21 9JW","201008","","S99999999","S12000033","S13002476","0","389405","0811263","1","S08000020","S99999999","S92000003","S99999999","0","S14000037","S15000001","S09000001","S22000047","S03000012","S31000906","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB46","72UB46","00QA01","99ZZ00","S00001395","01C03","S99999999","S01000256","S02000045","6","3C2","X98","S00090436","S01006762","S02001280","S99999999","S34003149","S03000012","S99999999","S99999999","6","1B2",57.192044,-2.176946,"S99999999","S99999999","S23000009",5311
"AB228ZQ","AB22 8ZQ","AB22 8ZQ","199008","","S99999999","S12000033","S13002476","0","391319","0810323","1","S08000020","S99999999","S92000003","S99999999","0","S14000037","S15000001","S09000001","S22000047","S03000012","S31000907","99ZZ0099","ZZ0099","9","SN9","QA","SN9","72UB50","72UB50","00QA03","99ZZ00","S00001052","01C03","S99999999","S01000234","S02000040","1","6D2","X98","S00090073","S01006761","S02001279","S99999999","S34003149","S03000012","S99999999","S99999999","1","5A1",57.183641,-2.145243,"S99999999","S99999999","S23000009",6821
"AB238XE","AB23 8XE","AB23 8XE","199008","","S99999999","S12000034","S13002496","0","391477","0819681","1","S08000020","S99999999","S92000003","S99999999","0","S14000037","S15000001","S09000001","S22000047","S03000013","S31000981","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UD16","72UD16","00QB34","99ZZ00","S00002111","02C34","S99999999","S01000388","S02000069","6","3B1","X98","S00091284","S01006957","S02001312","S99999999","S34003328","S03000013","S99999999","S99999999","6","1A2",57.267705,-2.142955,"S99999999","S99999999","S23000009",5800
"AB314YR","AB31 4YR","AB31 4YR","199812","199912","S99999999","S12000034","S13002503","1","362925","0801297","6","S08000020","S99999999","S92000003","S99999999","0","S14000058","S15000001","S09000001","S22000047","S03000013","S31001002","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UE02","72UE02","00QB38","99ZZ00","S00002984","02C55","S99999999","S01000339","S02000060","7","4B2","X98","S00092238","S01006871","S02001299","S99999999","S34003219","S03000013","S99999999","S99999999","7","6A2",57.101142,-2.613590,"S99999999","S99999999","S23000009",6326
"AB338HZ","AB33 8HZ","AB33 8HZ","200304","","S99999999","S12000034","S13002502","0","357421","0815552","1","S08000020","S99999999","S92000003","S99999999","0","S14000058","S15000001","S09000001","S22000047","S03000013","S31000999","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UD03","72UD03","00QB21","99ZZ00","S00002020","02C52","S99999999","S01000368","S02000068","7","3B1","X98","S00092921","S01006883","S02001301","S99999999","S34003258","S03000013","S99999999","S99999999","7","6B2",57.228707,-2.706871,"S99999999","S99999999","S23000009",6091
"AB345LB","AB34 5LB","AB34 5LB","199008","","S99999999","S12000034","S13002503","0","349172","0798221","1","S08000020","S99999999","S92000003","S99999999","0","S14000058","S15000001","S09000001","S22000047","S03000013","S31001001","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UE03","72UE03","00QB36","99ZZ00","S00002221","02C54","S99999999","S01000309","S02000054","7","3B1","X98","S00091423","S01006796","S02001286","S99999999","S34003298","S03000013","S99999999","S99999999","7","1A3",57.072196,-2.839947,"S99999999","S99999999","S23000009",5626
"AB4 3DD","AB4  3DD","AB4 3DD","197308","199008","S99999999","S12000034","S13002489","0","363740","0856740","8","S08000020","S99999999","S92000003","S99999999","0","S14000007","S15000001","S09000001","S22000081","S03000013","S31000949","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UC02","72UC02","00QB02","99ZZ00","S00003193","02C02","S99999999","S01000520","S02000095","7","3B1","X98","S00092487","S01007029","S02001325","S99999999","S34003246","S03000013","S99999999","S99999999","7","1A1",57.599208,-2.608323,"S99999999","S99999999","S23000009",4011
"AB4 5TU","AB4  5TU","AB4 5TU","197506","199008","S99999999","S12000034","S13002491","0","398900","0865680","8","S08000020","S99999999","S92000003","S99999999","0","S14000007","S15000001","S09000001","S22000084","S03000013","S31000958","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UC15","72UC15","00QB15","99ZZ00","S00002951","02C11","S99999999","S01000553","S02000101","2","1C3","X98","S00092203","S01007114","S02001340","S99999999","S34003192","S03000013","S99999999","S99999999","2","1B1",57.680973,-2.020109,"S99999999","S99999999","S23000009",5538
"AB410EB","AB41 0EB","AB41 0EB","199008","199606","S99999999","S12000034","S13002496","0","384664","0836053","1","S08000020","S99999999","S92000003","S99999999","0","S14000007","S15000001","S09000001","S22000047","S03000013","S31000975","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UD12","72UD12","00QB30","99ZZ00","S00002036","02C28","S99999999","S01000451","S02000075","6","3B1","X98","S00091170","S01006978","S02001316","S99999999","S34003229","S03000013","S99999999","S99999999","6","1A1",57.414590,-2.256941,"S99999999","S99999999","S23000009",5199
"AB427PT","AB42 7PT","AB42 7PT","199008","199606","S99999999","S12000034","S13002494","0","409139","0840490","1","S08000020","S99999999","S92000003","S99999999","0","S14000007","S15000001","S09000001","S22000075","S03000013","S31000965","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UC17","72UC17","00QB17","99ZZ00","S00001910","02C18","S99999999","S01000455","S02000082","6","3B1","X98","S00091016","S01007066","S02001333","S99999999","S34003208","S03000013","S99999999","S99999999","6","1A4",57.454618,-1.849352,"S99999999","S99999999","S23000009",4189
"AB5 0YD","AB5  0YD","AB5 0YD","197308","199008","S99999999","S12000034","S13002501","0","374640","0812640","8","S08000020","S99999999","S92000003","S99999999","0","S14000058","S15000001","S09000001","S22000047","S03000013","S31000991","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UD04","72UD04","00QB22","99ZZ00","S00002092","02C41","S99999999","S01000366","S02000066","6","3B1","X98","S00091245","S01006922","S02001306","S99999999","S34003249","S03000013","S99999999","S99999999","6","1A3",57.203831,-2.421388,"S99999999","S99999999","S23000009",5085
"AB5 9GG","AB5  9GG","AB5 9GG","197609","199008","S99999999","S12000034","S13002498","0","373000","0816680","8","S08000020","S99999999","S92000003","S99999999","0","S14000058","S15000001","S09000001","S22000047","S03000013","S31000990","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UD04","72UD04","00QB22","99ZZ00","S00002464","02C43","S99999999","S01000376","S02000067","3","1A1","X98","S00091686","S01006889","S02001302","S99999999","S34003372","S03000013","S99999999","S99999999","3","8C3",57.240026,-2.448973,"S99999999","S99999999","S23000009",3101
"AB510DU","AB51 0DU","AB51 0DU","199008","","S99999999","S12000034","S13002496","0","380316","0827624","1","S08000020","S99999999","S92000003","S99999999","0","S14000037","S15000001","S09000001","S22000047","S03000013","S31000980","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UD12","72UD12","00QB30","99ZZ00","S00003094","02C33","S99999999","S01000419","S02000074","6","3B2","X98","S00092374","S01006988","S02001317","S99999999","S34003390","S03000013","S99999999","S99999999","6","1A3",57.338707,-2.328641,"S99999999","S99999999","S23000009",4894
"AB519AY","AB51 9AY","AB51 9AY","199008","199306","S99999999","S12000034","S13002498","0","373240","0832340","8","S08000020","S99999999","S92000003","S99999999","0","S14000037","S15000001","S09000001","S22000047","S03000013","S31000983","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UD11","72UD11","00QB29","99ZZ00","S00002087","02C36","S99999999","S01000426","S02000073","6","3B1","X98","S00091230","S01006915","S02001305","S99999999","S34003317","S03000013","S99999999","S99999999","6","1A1",57.380706,-2.446700,"S99999999","S99999999","S23000009",5228
"AB535TQ","AB53 5TQ","AB53 5TQ","199606","","S99999999","S12000034","S13002495","0","380709","0852041","1","S08000020","S99999999","S92000003","S99999999","0","S14000007","S15000001","S09000001","S22000081","S03000013","S31000974","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UC06","72UC06","00QB06","99ZZ00","S00001950","02C27","S99999999","S01000517","S02000096","7","3B1","X98","S00091066","S01007042","S02001328","S99999999","S34003273","S03000013","S99999999","S99999999","7","1B1",57.558048,-2.324047,"S99999999","S99999999","S23000009",3647
"AB548YJ","AB54 8YJ","AB54 8YJ","200707","200905","S99999999","S12000034","S13002502","1","352968","0839984","1","S08000020","S99999999","S92000003","S99999999","0","S14000037","S15000001","S09000001","S22000060","S03000013","S31000996","99ZZ0099","ZZ0099","9","SN9","QB","SN9","72UD01","72UD01","00QB19","99ZZ00","S00002618","02C49","S99999999","S01000462","S02000083","4","5B4","X98","S00091854","S01007010","S02001321","S99999999","S34003373","S03000013","S99999999","S99999999","4","5B3",57.447716,-2.785289,"S99999999","S99999999","S23000009",6330
"AB561PL","AB56 1PL","AB56 1PL","199008","","S99999999","S12000020","S13002698","0","342693","0865453","1","S08000020","S99999999","S92000003","S99999999","0","S14000046","S15000001","S09000003","S22000060","S03000014","S31001107","99ZZ0099","ZZ0099","9","SN9","QX","SN9","72UF12","72UF12","00QX12","99ZZ00","S00030067","21C19","S99999999","S01004323","S02000828","4","1C2","X98","S00121525","S01011076","S02002078","S99999999","S34002065","S03000014","S99999999","S99999999","3","7A1",57.675274,-2.962482,"S99999999","S99999999","S23000009",3546
"AL1 1NH","AL1  1NH","AL1 1NH","199812","","E10000015","E07000240","E05004799","0","514801","0206976","1","E18000006","E19000001","E92000001","E12000006","5","E14000960","E15000006","E24000005","E30000237","E16000150","E05004799","26UGFQ08","KHFQ08","1","Q02","919","QEX","27KHFQ","26UGFQ","26UGFQ","26UGGM","E00120491","26UGGM","E99999999","E01023726","E02004935","5","2B2","5GX","E00120491","E01023726","E02004935","E43000079","E33024341","E38000079","E34004707","E35001183","C1","5A3",51.749726,-0.338402,"E37000017","","E23000027",27926
"AL1 4WB","AL1  4WB","AL1 4WB","200112","200601","E10000015","E07000240","E05004796","1","516894","0208459","5","E18000006","E19000001","E92000001","E12000006","5","E14000960","E15000006","E24000005","E30000237","E16000150","E05004796","26UGFM11","KHFM11","1","Q02","919","QEX","27KHFM","26UGFM","26UGFM","26UGGJ","E00120425","26UGGJ","E99999999","E01023714","E02004933","5","4B3","5GX","E00120425","E01023714","E02004933","E43000079","E33027436","E38000079","E34004707","E35001183","C1","6A1",51.762622,-0.307599,"E37000017","","E23000027",32717
"AL109UF","AL10 9UF","AL10 9UF","201008","","E10000015","E07000241","E05011064","0","520923","0208555","1","E18000006","E19000001","E92000001","E12000006","5","E14001027","E15000006","E24000005","E30000272","E16000150","E05011064","26ULFF02","KMFF02","1","Q02","919","QEX","27KMFF","26ULFF","26ULFX","26ULGP","E00121509","26ULGP","E99999999","E01023931","E02004989","5","6D1","5GG","E00173229","E01033308","E02004989","E04004819","E33025055","E38000049","E34004803","E35000502","C1","2B2",51.762630,-0.249214,"E37000017","","E23000027",19509
"AL7 2EN","AL7  2EN","AL7 2EN","198001","","E10000015","E07000241","E05011059","0","526211","0213025","1","E18000006","E19000001","E92000001","E12000006","5","E14001027","E15000006","E24000005","E30000272","E16000150","E05011059","26ULFB14","KMFB14","1","Q02","919","QEX","27KMFB","26ULFB","26ULFS","26ULGW","E00121629","26ULGW","E99999999","E01023951","E02004984","5","5B2","5GG","E00121629","E01023951","E02004984","E43000083","E33027638","E38000049","E34004821","E35001153","C1","7C3",51.801634,-0.171007,"E37000017","","E23000027",11539
